#,ID,Dimension,Country,Text,Label Primary,Label Manual,Notes
1,599837,education,in,"Undermining merit If the hijab or turbans or any other visible symbol hampers access to education or employment , this undermines merit and rationality .",ANTI_EQUALITY,ANTI_EQUALITY,
2,801346,education,us,Progressives ' unrelenting efforts to have racial balancing supplant merit in allocating educational opportunities might give the Supreme Court an occasion to repent by reconnecting with its own precedents .,ANTI_EQUALITY,ANTI_EQUALITY,
3,674399,education,ng,"Invest in education , give our people great access to education , give them quality education and to those who have been in government and those who are still in government ; stop this universal basic education .",ANTI_EQUALITY,ANTI_EQUALITY,
4,529103,education,us,"The capital can be better used for career and educational opportunities that could push them up the income ladder , rather than raising debts that they can barely afford .",ANTI_EQUALITY,NEUTRAL,
5,498778,education,us,"And that nominee may want to avoid the unpopular stands that most of today 's two dozen candidates have endorsed -- ninth-month abortions , free college , open borders through decriminalization of illegal border crossing , free medical care for illegal immigrants , abolition of private health insurance .",ANTI_EQUALITY,ANTI_EQUALITY,
6,676041,education,us,"We should remember that even in states offering free college , that it is n't free : someone is paying for it , and that 's sure that we get the return on investment that our country needs and deserves .",ANTI_EQUALITY,ANTI_EQUALITY,
7,441876,education,gb,"Instead , ministers allocate millions to populist policies such as free university tuition fees and free prescriptions for all , both of which disproportionately benefit the well off .",ANTI_EQUALITY,ANTI_EQUALITY,
8,268459,education,in,It made sense when the backward castes had no access to education or formal employment ; that situation has changed dramatically and these erstwhile oppressed castes are now politically powerful and economically empowered .,ANTI_EQUALITY,ANTI_EQUALITY,
9,187517,education,us,"The White House skinny budget called for eliminating the campus-based Supplemental Educational Opportunity Grant program entirely , while slashing Federal Work-Study and cutting the college access programs TRIO and GEAR UP .",ANTI_EQUALITY,NEUTRAL,
10,371971,education,us,"And after the Court had ruled that school segregation was unconstitutional , he was reluctant to use his presidential authority to enforce the decision .",ANTI_EQUALITY,NEUTRAL,
11,224462,education,za,"I am reminded that all of the above conveniently refused to implement free higher education , because SASCO 's plan , which is the only plan the ANC has , is complete rubbish , as it is impractical and unsustainable .",ANTI_EQUALITY,ANTI_EQUALITY,
12,452396,education,nz,"But Schultz also castigates Democrats for offering extraordinarily costly programs , such as Medicare for all and free college , without acknowledging that they 're wildly expensive and would require vast tax hikes .",ANTI_EQUALITY,NEUTRAL,
13,535614,education,us,"Obama is said to worry that Sanders ' far-left policies , which include massive tax increases , free college tuition , and massive student debt forgiveness , would alienate even traditional Democratic voters , the sources told Fox .",ANTI_EQUALITY,NEUTRAL,
14,530054,education,us,"And there was a swipe at the most progressive candidates , Bernie Sanders and Elizabeth Warren , who promote free college and Medicare for all .",ANTI_EQUALITY,NEUTRAL,
15,841370,education,us,"The conservative group claimed that affirmative action , which was implemented to address racial inequities in access to higher education , violated the equal protection clause of the 14th Amendment .",ANTI_EQUALITY,NEUTRAL,
16,460722,education,sg,"She looked right into the camera and lied to the American people , that it is not true that we ca n't afford Medicaid for all , and free college tuition , and all the other goodies that the socialists want to bring out .",ANTI_EQUALITY,ANTI_EQUALITY,
17,232158,education,gb,"GCSE attainment gap ' inevitable ' this year , say heads Teachers should not be expected to fix the inevitable attainment gaps between different groups of students in this year 's teacher-assessed grading system for GCSEs and A levels , heads have warned .",ANTI_EQUALITY,ANTI_EQUALITY,
18,330922,education,za,"After the 2016 decision to abolish Afrikaans as an equal language , four million Afrikaans speakers in the Western and Northern Cape no longer have access to higher education in their mother tongue .",ANTI_EQUALITY,NEUTRAL,
19,273689,education,us,"By giving each state enough money to bring public university tuition down to $0 , free college would unjustly reward states that previously cut college funding and let tuition rise , while perversely penalizing states that did the right thing by spending more to keep tuition low .",ANTI_EQUALITY,ANTI_EQUALITY,
